N,a,p,iss,reg,in_connectivity,rc_connectivity,load_time,init_time,states_time,train_time,test_time,mae,mse,rmse,nrmse,r2,max_err,iter_time
1500,0.94,0.5,0.72,0.0004,1.0,0.003,0.06299999984912574,1.4059999999590218,46.063000000081956,1.671000000089407,13.703999999910593,0.1253119751682587,0.026642751690610356,0.16322607540037945,0.44607252000878184,0.8010192882749108,0.4868667020312555,62.906999999890104
1500,0.82,0.58,0.72,0.0004,1.0,0.003,0.0470000000204891,1.421000000089407,45.89099999982864,1.6410000000614673,13.468000000109896,0.12414602546089852,0.02982979411845483,0.17271303980433797,0.47199897880849856,0.7772169431585072,0.49300460401428925,62.468000000109896
1500,0.76,0.66,0.72,0.0004,1.0,0.003,0.06200000015087426,1.422000000020489,45.812999999849126,1.625,13.530999999959022,0.1305582804093855,0.04010508639183357,0.2002625436566548,0.5472876640155071,0.7004761847907903,0.6577613837538799,62.45299999997951
1500,0.82,0.5,0.72,0.0004,1.0,0.003,0.06200000015087426,1.4219999997876585,45.438000000081956,1.6089999999385327,13.452999999979511,0.15485671833570014,0.04350075536776739,0.20856834699389884,0.5699861857820433,0.6751157176190663,0.8698403430212331,61.98399999993853
1500,0.88,0.5,0.72,0.0004,1.0,0.003,0.06299999984912574,1.4059999999590218,45.73400000017136,1.6099999998696148,13.452999999979511,0.17458112271294973,0.04873180226518218,0.22075280805729783,0.6032845006387064,0.63604777723505,0.6577606993092213,62.26599999982864
1500,0.7,0.66,0.72,0.0004,1.0,0.003,0.06300000008195639,1.4059999999590218,45.76600000006147,1.625,13.452999999979511,0.14158447523089335,0.054387710831308465,0.2332117296177627,0.6373328750999318,0.5938067683104176,0.8145500826004417,62.313000000081956
1500,0.82,0.66,0.72,0.0004,1.0,0.003,0.06199999991804361,1.4380000000819564,48.10899999993853,1.6410000000614673,14.077999999979511,0.1521139967217249,0.057637484689304276,0.24007808040157327,0.6560975877225054,0.569535915107312,0.8187538904894394,65.32799999997951
1500,0.94,0.58,0.88,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,46.093000000109896,1.625,13.453999999910593,0.1473793697548158,0.06134689134990235,0.24768304614951414,0.6768808248826421,0.5418323060366425,1.3640810194711868,62.656999999890104
1500,0.7,0.9,0.72,0.0004,1.0,0.003,0.06300000008195639,1.422000000020489,45.75,1.625,13.5,0.18886390878312193,0.06594656323940097,0.25680062935943315,0.701797819969745,0.5074797738018854,0.7218087744032605,62.360000000102445
1500,0.7,0.5,0.72,0.0004,1.0,0.003,0.06300000008195639,1.4369999999180436,45.96900000004098,1.625,13.5,0.24874730772367057,0.08132027754069707,0.28516710459079436,0.7793191661099498,0.3926615805066267,0.6114364244841898,62.59400000004098
1500,0.76,0.82,1.04,0.0004,1.0,0.003,0.06300000008195639,1.422000000020489,45.686999999918044,1.672000000020489,13.469000000040978,0.25042376712615055,0.087657684406467,0.2960704044758054,0.8091162585425663,0.34533081890639794,0.9869360760215843,62.313000000081956
1500,0.7,0.66,0.56,0.0004,1.0,0.003,0.06300000008195639,1.4059999999590218,46.03099999995902,1.5780000002123415,13.421999999787658,0.2652223357016775,0.09361371690679723,0.30596358755054043,0.8361528523847596,0.30084834203104016,0.6495611595787134,62.5
1500,0.82,0.66,0.88,0.0004,1.0,0.003,0.06199999991804361,1.4380000000819564,48.25,1.6400000001303852,14.077999999979511,0.1879748719473357,0.09970197458520248,0.31575619484849776,0.8629145876292135,0.2553783447844059,1.5102227145088014,65.4680000001099
1500,0.7,0.5,1.04,0.0004,1.0,0.003,0.06200000015087426,1.4219999997876585,45.82800000021234,1.625,13.484999999869615,0.26880636490288523,0.12126438800867781,0.34823036629317355,0.9516616548854178,0.09434000988051405,4.911070484045551,62.42200000002049
1500,0.7,0.5,0.88,0.0004,1.0,0.003,0.0779999999795109,1.4060000001918525,46.125,1.5939999998081475,13.469000000040978,0.20093065683134712,0.1317602887545271,0.3629880008409742,0.9919920691036034,0.01595164276072325,1.5137746342774594,62.67200000002049
1500,0.76,0.74,0.4,0.0004,1.0,0.003,0.06199999991804361,1.4380000000819564,45.968000000109896,1.6099999998696148,13.468000000109896,0.30449640800440136,0.1330087143454854,0.364703597933288,0.9966805400872436,0.006627808064165297,0.8695389159986273,62.54600000008941
1500,0.82,0.66,1.2,0.0004,1.0,0.003,0.0779999999795109,1.4369999999180436,47.90600000019185,1.625,14.015999999828637,0.3289902009087062,0.13879792723955364,0.3725559384032868,1.0181398154685053,-0.03660878083501151,0.9638225298104672,65.06199999991804
1500,0.94,0.58,1.04,0.0004,1.0,0.003,0.06199999991804361,1.422000000020489,46.14100000006147,1.625,13.389999999897555,0.2670931024129573,0.14773632296746406,0.38436483055485715,1.050411756502693,-0.10336496143804297,1.294438195592854,62.65599999995902
1500,0.88,0.58,0.88,0.0004,1.0,0.003,0.06300000008195639,1.4059999999590218,45.812000000150874,1.577999999979511,13.453999999910593,0.26095393062367406,0.1512152825283859,0.3888640926189842,1.0627075686895757,-0.12934748222019632,6.3440555648665535,62.313000000081956
1500,0.94,0.74,1.2,0.0004,1.0,0.003,0.06300000008195639,1.422000000020489,45.686999999918044,1.5940000000409782,13.469000000040978,0.3186982192460963,0.1635293882768914,0.40438767077754906,1.105131192560693,-0.22131506704587256,2.343128083188577,62.235000000102445
1500,1.0,0.58,1.2,0.0004,1.0,0.003,0.06300000008195639,1.4059999999590218,46.03099999995902,1.625,13.5,0.3185035094731556,0.1668332183181091,0.4084522228096073,1.1162390070639805,-0.24598963747516933,1.065574137621892,62.625
1500,1.0,0.58,0.72,0.0004,1.0,0.003,0.06300000008195639,1.4059999999590218,46.01600000006147,1.625,13.577999999979511,0.21069906562722834,0.16811154134463838,0.41001407456895717,1.1205073149827025,-0.25553676040703266,4.882233423755662,62.688000000081956
1500,0.94,0.9,1.2,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,45.84400000004098,1.577999999979511,13.577999999979511,0.28658551233455143,0.17376870926917337,0.4168557415571643,1.1392045704733125,-0.29778717481783223,2.299865444696933,62.484999999869615
