N,a,p,iss,reg,in_connectivity,rc_connectivity,load_time,init_time,states_time,train_time,test_time,mae,mse,rmse,nrmse,r2,max_err,iter_time
2300,0.88,1.06,1.04,0.0004,1.0,0.003,0.06199999991804361,4.7030000002123415,147.51599999982864,3.530999999959022,45.96900000004098,0.2333854304217907,0.22683294963514938,0.4762698286004997,0.5969778149608533,0.6436175236768659,4.515118491858854,201.78099999995902
1500,0.88,1.06,1.04,0.0004,1.0,0.003,0.06200000015087426,1.4689999998081475,51.063000000081956,1.547000000020489,14.155999999959022,0.24567535790774309,0.26368837205813445,0.5135059610736125,0.6436512418010779,0.5857131198847139,4.7588908104189755,68.29700000002049
2100,0.88,1.06,1.04,0.0004,1.0,0.003,0.06300000008195639,3.4839999999385327,120.0,3.0,37.04700000002049,0.26624625612885167,0.3145870277203034,0.5608805824061869,0.7030327021191134,0.505745068613597,4.583781783128266,163.59400000004098
2200,0.88,1.06,1.04,0.0004,1.0,0.003,0.0470000000204891,3.9370000001508743,134.34399999980815,3.202999999979511,41.313000000081956,0.27250920919351906,0.33387020637828624,0.5778150278231661,0.7242590902199687,0.47544882209135697,4.490417914552728,182.84400000004098
1600,0.88,1.06,1.04,0.0004,1.0,0.003,0.06200000015087426,1.7349999998696148,62.875,1.797000000020489,18.514999999897555,0.3275217728776874,0.3436483118180919,0.5862152435906899,0.7347882947862787,0.4600862152214481,4.909755058515605,84.98399999993853
2000,0.88,1.06,1.04,0.0004,1.0,0.003,0.06200000015087426,3.0629999998491257,109.29700000002049,2.655999999959022,33.57799999997951,0.3163873083330331,0.37584760773315823,0.6130641138846395,0.7684418645900759,0.4094971591229838,4.6255022709664715,148.65599999995902
1800,0.88,1.06,1.04,0.0004,1.0,0.003,0.06200000015087426,2.375,89.07799999997951,2.172000000020489,27.07799999997951,0.3470192997595771,0.5568318205389557,0.7462116459416562,0.935334911307721,0.12514869017758623,6.214208715583403,120.76500000013039
1700,0.88,1.06,1.04,0.0004,1.0,0.003,0.06300000008195639,2.030999999959022,77.43700000015087,2.0939999998081475,23.266000000061467,1.921147425596582,5.53982169199985,2.3536825809781257,2.9502105737677393,-7.703741569111044,8.968443566743407,104.89100000006147
1900,0.88,1.06,1.04,0.0004,1.0,0.003,0.06299999984912574,2.719000000040978,99.18699999991804,2.4530000002123415,30.390999999828637,2.385220944911023,7.427669505181469,2.725375112747137,3.416106547285007,-10.669782788717987,5.192728333153312,134.81299999984913
2400,0.88,1.06,1.04,0.0004,1.0,0.003,0.06200000015087426,5.078999999910593,161.13999999989755,3.7810000001918525,50.39099999982864,2.9821314325009856,9.706848505612351,3.1155815677995577,3.905208696806662,-14.250653457920702,5.199979990244114,220.4529999999795
2500,0.88,1.06,1.04,0.0004,1.0,0.003,0.06300000008195639,5.6399999998975545,173.5,4.172000000020489,54.09400000004098,3.163048087191001,10.987968070811958,3.314810412499025,4.154931003876479,-16.263449940293402,5.307423284404949,237.46900000004098
