v1,v2,I
-0.812904,-0.221252,0.065464
-0.947224,-0.268852,0.010921
-1.091015,-0.355621,-0.083255
-1.225370,-0.414936,-0.177619
-1.341663,-0.491812,-0.292198
-1.451183,-0.556979,-0.413916
-1.550397,-0.629836,-0.549746
-1.642710,-0.699380,-0.694313
-1.724602,-0.772649,-0.849916
-1.795258,-0.845734,-1.013737
-1.844009,-0.918786,-1.185473
-1.883752,-0.988228,-1.361423
-1.899950,-1.046538,-1.540062
-1.898658,-1.102593,-1.716445
-1.888816,-1.137149,-1.887757
-1.826887,-1.164907,-2.050561
-1.759092,-1.182894,-2.198955
-1.670868,-1.149195,-2.331190
-1.560953,-1.128049,-2.440102
-1.393020,-1.040671,-2.528061
-1.290130,-0.982435,-2.582888
-1.133114,-0.770100,-2.612182
-0.967660,-0.687819,-2.591215
-0.790091,-0.356307,-2.544793
-0.617901,-0.193121,-2.428162
-0.440226,0.255008,-2.272888
-0.266583,0.511693,-2.047183
-0.106746,0.935087,-1.766541
0.052207,1.170982,-1.442643
0.197135,1.379979,-1.067680
0.335971,1.454941,-0.680478
0.476733,1.470232,-0.283924
0.628839,1.423209,0.088214
0.797093,1.345593,0.427366
0.982348,1.232904,0.718467
1.184633,1.099027,0.958363
1.386365,0.955352,1.147970
1.472965,0.838779,1.298661
1.510533,0.778899,1.420230
1.540361,0.736256,1.524593
1.556668,0.716897,1.617224
1.577755,0.706840,1.701345
1.554290,0.702383,1.780159
1.537370,0.709122,1.850451
1.502680,0.676632,1.913436
1.468004,0.665528,1.964527
1.401264,0.608147,2.004492
1.332731,0.574123,2.027520
1.252180,0.474510,2.033770
1.164438,0.399675,2.017838
1.066888,0.267196,1.979905
0.966929,0.153331,1.916223
0.858434,-0.002532,1.826747
0.754857,-0.139866,1.710570
0.650789,-0.295598,1.568272
0.546987,-0.424607,1.402934
0.451097,-0.545535,1.216088
0.369430,-0.636278,1.014508
0.286697,-0.700054,0.803056
0.218095,-0.734065,0.588737
0.159452,-0.742330,0.378777
0.109902,-0.725353,0.179756
0.067346,-0.687966,-0.002542
0.029351,-0.632255,-0.163356
-0.005840,-0.561484,-0.299211
-0.038754,-0.477395,-0.407584
-0.069018,-0.382678,-0.487040
-0.096028,-0.280331,-0.537157
-0.119373,-0.174935,-0.558728
-0.138971,-0.071834,-0.553767
-0.155042,0.023131,-0.525487
-0.168129,0.104913,-0.478045
-0.179019,0.169870,-0.416234
-0.188739,0.216299,-0.345075
-0.198532,0.244169,-0.269476
-0.209794,0.254707,-0.193946
-0.223991,0.249799,-0.122413
-0.242564,0.231613,-0.058140
-0.266887,0.202340,-0.003700
-0.298272,0.164110,0.039000
-0.337994,0.118942,0.068667
-0.387293,0.068745,0.084563
-0.447389,0.015284,0.086441
-0.519515,-0.039876,0.074456
-0.604916,-0.095486,0.049073
-0.704633,-0.150766,0.010932
-0.818835,-0.205582,-0.039311
-0.944243,-0.260582,-0.101158
-1.069112,-0.316896,-0.174331
-1.180984,-0.374912,-0.258431
-1.282728,-0.434143,-0.352898
-1.379957,-0.494404,-0.457612
-1.473422,-0.556129,-0.572417
-1.558645,-0.620257,-0.697133
-1.638309,-0.686558,-0.831206
-1.710171,-0.753982,-0.974392
-1.755374,-0.822771,-1.125669
-1.795363,-0.888528,-1.281699
-1.814727,-0.940548,-1.441394
-1.819244,-0.991915,-1.599920
-1.800420,-1.022371,-1.754763
-1.789458,-1.047945,-1.901103
-1.723295,-1.042474,-2.038412
-1.638072,-1.058186,-2.158912
-1.555673,-0.993132,-2.262803
-1.434956,-0.951044,-2.340588
-1.312246,-0.840294,-2.395372
-1.175828,-0.730963,-2.415810
-1.027090,-0.547818,-2.404712
-0.876295,-0.366652,-2.350259
-0.712464,-0.100563,-2.254792
-0.553889,0.151046,-2.108767
-0.396907,0.461834,-1.915253
-0.242907,0.723532,-1.674914
-0.103998,0.965336,-1.391354
0.028439,1.125983,-1.077386
0.151456,1.221316,-0.741277
0.269276,1.250263,-0.402445
0.389214,1.232573,-0.074476
0.518381,1.177914,0.227771
0.659902,1.095295,0.495098
0.814186,0.986915,0.720367
0.981311,0.859811,0.900865
1.155909,0.727606,1.038782
1.265068,0.615392,1.142863
1.302390,0.545444,1.222244
1.330631,0.504633,1.284769
1.361431,0.474230,1.337599
1.368431,0.462778,1.384490
1.379860,0.459731,1.426285
1.380027,0.452959,1.465696
1.369599,0.454429,1.501489
1.358185,0.444497,1.533279
1.334065,0.432279,1.560489
1.306555,0.412960,1.580949
1.260608,0.383075,1.594056
1.219224,0.347030,1.596788
1.169497,0.292757,1.588984
1.104038,0.240416,1.568609
1.044880,0.172003,1.534022
0.978645,0.097609,1.485567
0.913217,0.021716,1.421821
0.844428,-0.057734,1.343892
0.777278,-0.132666,1.252026
0.715209,-0.205074,1.147768
0.654523,-0.267211,1.033330
0.600744,-0.319156,0.910820
0.554287,-0.358061,0.783716
0.516024,-0.382644,0.655136
0.486789,-0.392590,0.528761
0.467357,-0.388176,0.408026
0.458534,-0.370257,0.296231
0.460673,-0.339899,0.196279
0.473971,-0.298476,0.110610
0.498999,-0.247468,0.041151
0.536216,-0.188395,-0.010680
0.586186,-0.122855,-0.043980
0.649348,-0.052451,-0.058306
0.726134,0.021209,-0.053650
0.816134,0.096701,-0.030350
0.917655,0.172789,0.010955
1.026938,0.248615,0.069434
1.139500,0.323621,0.144094
1.251627,0.397733,0.233914
1.361163,0.471284,0.337930
1.465855,0.544983,0.455337
1.564638,0.619492,0.585379
1.641520,0.695254,0.727396
1.736330,0.769700,0.878924
1.801411,0.841781,1.042150
1.852801,0.924257,1.211718
1.885646,0.989449,1.387511
1.902627,1.055831,1.564997
1.892208,1.102691,1.740890
1.877912,1.145847,1.910144
1.822007,1.157100,2.070905
1.740822,1.181466,2.216223
1.684129,1.142101,2.345491
1.547504,1.107334,2.451944
1.408036,1.056570,2.536163
1.264471,0.939673,2.592603
1.106249,0.817272,2.613478
0.930358,0.616593,2.599809
0.762050,0.408375,2.537341
0.580287,0.089107,2.427369
0.411694,-0.220891,2.255344
0.239773,-0.616260,2.026062
0.077028,-0.942211,1.739489
-0.075892,-1.231640,1.400988
-0.218073,-1.398806,1.027283
-0.356303,-1.476582,0.629736
-0.497761,-1.474835,0.235744
-0.651635,-1.426273,-0.137318
-0.821864,-1.340380,-0.471839
-1.009043,-1.225645,-0.758754
-1.212855,-1.086957,-0.992891
-1.404137,-0.944465,-1.177654
-1.472706,-0.831301,-1.324341
-1.511659,-0.776241,-1.442551
-1.537933,-0.728954,-1.544631
-1.553121,-0.714634,-1.634586
-1.566087,-0.698884,-1.716400
-1.549533,-0.697393,-1.791919
-1.529032,-0.693083,-1.859600
-1.493650,-0.670922,-1.919143
-1.434526,-0.647556,-1.967382
-1.391275,-0.599216,-2.001617
-1.320363,-0.531112,-2.020774
-1.239108,-0.465507,-2.021300
-1.150467,-0.360822,-2.001885
-1.052035,-0.254767,-1.959259
-0.952683,-0.119400,-1.892035
-0.849177,0.017802,-1.799109
-0.742925,0.165227,-1.680096
-0.655144,0.305583,-1.536134
-0.542593,0.435641,-1.370621
-0.447465,0.541030,-1.184700
-0.359002,0.633502,-0.984686
-0.289648,0.691531,-0.775825
-0.219025,0.723895,-0.565150
-0.162552,0.728339,-0.359091
-0.115167,0.710413,-0.164603
-0.074730,0.671112,0.012912
-0.038990,0.614927,0.168917
-0.006315,0.543396,0.300002
0.023717,0.459425,0.403863
0.050690,0.364956,0.479118
0.073978,0.263572,0.525486
0.093139,0.159411,0.543794
0.108040,0.057919,0.536091
0.118863,-0.035513,0.505530
