t,I,V,I',V'
1583.102857,-0.080160,-60.943135,-0.080160,-60.939590
1583.143048,-0.080460,-60.897278,-0.080460,-60.997540
1583.183238,-0.077270,-60.852342,-0.077270,-61.014150
1583.223429,-0.073740,-60.766926,-0.073740,-61.062990
1583.263619,-0.072130,-60.752282,-0.072130,-61.126450
1583.303810,-0.072170,-60.716627,-0.072170,-61.185340
1583.344000,-0.071040,-60.710091,-0.071040,-61.176520
1583.384190,-0.068870,-60.450424,-0.068870,-61.183210
1583.424381,-0.066780,-60.366083,-0.066780,-61.230180
1583.464571,-0.064900,-60.190761,-0.064900,-61.327360
1583.504762,-0.062970,-60.086359,-0.062970,-61.280020
1583.544952,-0.061350,-60.040107,-0.061350,-61.249510
1583.585143,-0.059320,-60.011936,-0.059320,-61.279890
1583.625333,-0.057580,-60.968804,-0.057580,-61.357290
1583.665524,-0.055470,-60.976544,-0.055470,-61.401110
1583.705714,-0.052350,-60.937880,-0.052350,-61.469680
1583.745905,-0.050010,-60.869660,-0.050010,-61.464760
1583.786095,-0.048270,-60.946703,-0.048270,-61.463760
1583.826286,-0.041550,-60.931492,-0.041550,-61.473780
1583.866476,-0.024190,-60.950589,-0.024190,-61.492390
1583.906667,-0.000781,-60.392907,-0.000781,-61.505910
1583.946857,0.024670,-60.424336,0.024670,-61.469250
1583.987048,0.050940,-60.238718,0.050940,-61.315970
1584.027238,0.080170,-59.543047,0.080170,-61.208960
1584.067429,0.111830,-59.313776,0.111830,-61.097510
1584.107619,0.145290,-59.261116,0.145290,-60.921800
1584.147810,0.179930,-61.016393,0.179930,-60.686990
1584.188000,0.215200,-60.555911,0.215200,-60.498950
1584.228190,0.251090,-60.393593,0.251090,-60.255900
1584.268381,0.287220,-60.204734,0.287220,-59.973270
1584.308571,0.324060,-61.390379,0.324060,-59.654850
1584.348762,0.362390,-61.334474,0.362390,-59.364050
1584.388952,0.402750,-61.512448,0.402750,-58.998900
1584.429143,0.444110,-60.152963,0.444110,-58.579700
1584.469333,0.485940,-61.548325,0.485940,-58.169990
1584.509524,0.529510,-61.020004,0.529510,-57.827000
1584.549714,0.571540,-57.911244,0.571540,-57.370920
1584.589905,0.613430,-56.998328,0.613430,-56.798030
1584.630095,0.657570,-58.249428,0.657570,-56.254080
1584.670286,0.701320,-62.273694,0.701320,-55.770470
1584.710476,0.743990,-56.653550,0.743990,-55.278680
1584.750667,0.784480,-55.769179,0.784480,-54.749720
1584.790857,0.825180,-56.106908,0.825180,-54.180010
1584.831048,0.863700,-64.025134,0.863700,-53.594090
1584.871238,0.903020,-59.720863,0.903020,-53.004830
1584.911429,0.940480,-59.499611,0.940480,-52.419400
1584.951619,0.974720,-59.083543,0.974720,-51.829900
1584.991810,1.005580,-71.895380,1.005580,-51.233600
1585.032000,1.034140,-70.044512,1.034140,-50.610580
1585.072190,1.058140,-54.853890,1.058140,-49.994770
1585.112381,1.077460,-55.305999,1.077460,-49.398720
1585.152571,1.093100,-71.585302,1.093100,-48.846800
1585.192762,1.106460,-78.530744,1.106460,-48.281940
1585.232952,1.114370,-36.865621,1.114370,-47.748980
1585.273143,1.116330,-51.021464,1.116330,-47.236440
1585.313333,1.113620,-61.081556,1.113620,-46.775490
1585.353524,1.106820,-72.456438,1.106820,-46.328120
1585.393714,1.093820,3.733277,1.093820,-45.918940
1585.433905,1.074930,-62.941296,1.074930,-45.517770
1585.474095,1.052470,-30.785623,1.052470,-45.123060
1585.514286,1.025580,-11.594575,1.025580,-44.816310
1585.554476,0.995210,-17.742987,0.995210,-44.632920
1585.594667,0.961030,9.196675,0.961030,-44.477190
1585.634857,0.921540,-131.188727,0.921540,-44.313220
1585.675048,0.878110,-526.450036,0.878110,-44.162620
1585.715238,0.832010,-7073.004404,0.832010,-44.058810
1585.755429,0.783460,-26795621.695157,0.783460,-44.029210
1585.795619,0.732880,-1404980334753243136.000000,0.732880,-44.043530
1585.835810,0.682190,-202530808011592891973600434681913901178064715382784.000000,0.682190,-44.091260
1585.876000,0.629720,-606671571971607763502810343115137633356481484842270774530802917534824619913069985108405834306414814875634748847183614328166393719772834211731341312.000000,0.629720,-44.162020
1585.916190,0.575720,-inf,0.575720,-44.331260
1585.956381,0.521040,nan,0.521040,-44.546140
1585.996571,0.465250,nan,0.465250,-44.780630
1586.036762,0.411520,nan,0.411520,-44.985200
1586.076952,0.360170,nan,0.360170,-45.281540
1586.117143,0.309370,nan,0.309370,-45.631490
1586.157333,0.255930,nan,0.255930,-46.026130
1586.197524,0.203900,nan,0.203900,-46.362780
1586.237714,0.154470,nan,0.154470,-46.737370
1586.277905,0.108540,nan,0.108540,-47.088630
1586.318095,0.062270,nan,0.062270,-47.534340
1586.358286,0.018770,nan,0.018770,-47.944200
1586.398476,-0.018370,nan,-0.018370,-48.367340
1586.438667,-0.039280,nan,-0.039280,-48.775020
1586.478857,-0.049240,nan,-0.049240,-49.211160
1586.519048,-0.054140,nan,-0.054140,-49.548780
1586.559238,-0.059520,nan,-0.059520,-49.859630
1586.599429,-0.063360,nan,-0.063360,-50.153000
1586.639619,-0.067410,nan,-0.067410,-50.465060
1586.679810,-0.070660,nan,-0.070660,-50.716680
1586.720000,-0.073490,nan,-0.073490,-50.942020
1586.760190,-0.075500,nan,-0.075500,-51.043730
1586.800381,-0.079120,nan,-0.079120,-51.217380
1586.840571,-0.083740,nan,-0.083740,-51.409920
1586.880762,-0.087470,nan,-0.087470,-51.611140
1586.920952,-0.087170,nan,-0.087170,-51.778330
1586.961143,-0.087610,nan,-0.087610,-51.968330
1587.001333,-0.090120,nan,-0.090120,-52.125490
1587.041524,-0.092990,nan,-0.092990,-52.316700
1587.081714,-0.094390,nan,-0.094390,-52.443970
1587.121905,-0.096390,nan,-0.096390,-52.573410
1587.162095,-0.098900,nan,-0.098900,-52.749860
1587.202286,-0.100050,nan,-0.100050,-52.917630
1587.242476,-0.100650,nan,-0.100650,-53.002060
1587.282667,-0.101870,nan,-0.101870,-53.113850
1587.322857,-0.102700,nan,-0.102700,-53.263900
1587.363048,-0.104370,nan,-0.104370,-53.387770
1587.403238,-0.106240,nan,-0.106240,-53.504160
1587.443429,-0.108070,nan,-0.108070,-53.587910
1587.483619,-0.106320,nan,-0.106320,-53.674840
1587.523810,-0.105860,nan,-0.105860,-53.783650
1587.564000,-0.106280,nan,-0.106280,-53.911280
1587.604190,-0.109120,nan,-0.109120,-53.989290
1587.644381,-0.109360,nan,-0.109360,-54.064490
1587.684571,-0.109990,nan,-0.109990,-54.178600
1587.724762,-0.110590,nan,-0.110590,-54.337100
1587.764952,-0.111670,nan,-0.111670,-54.472410
1587.805143,-0.112180,nan,-0.112180,-54.523840
1587.845333,-0.111810,nan,-0.111810,-54.563620
1587.885524,-0.110020,nan,-0.110020,-54.663910
1587.925714,-0.107750,nan,-0.107750,-54.734100
1587.965905,-0.108000,nan,-0.108000,-54.848420
1588.006095,-0.109990,nan,-0.109990,-54.934980
1588.046286,-0.111130,nan,-0.111130,-54.981470
1588.086476,-0.110320,nan,-0.110320,-55.009110
1588.126667,-0.108540,nan,-0.108540,-55.167130
1588.166857,-0.109740,nan,-0.109740,-55.301270
1588.207048,-0.111170,nan,-0.111170,-55.352660
1588.247238,-0.111370,nan,-0.111370,-55.338850
1588.287429,-0.110100,nan,-0.110100,-55.389330
1588.327619,-0.109220,nan,-0.109220,-55.509350
1588.367810,-0.108770,nan,-0.108770,-55.652240
1588.408000,-0.109650,nan,-0.109650,-55.730140
1588.448190,-0.110650,nan,-0.110650,-55.805610
1588.488381,-0.109760,nan,-0.109760,-55.869040
1588.528571,-0.108390,nan,-0.108390,-55.926130
1588.568762,-0.108420,nan,-0.108420,-56.007120
1588.608952,-0.107980,nan,-0.107980,-56.120990
1588.649143,-0.106530,nan,-0.106530,-56.203220
1588.689333,-0.104150,nan,-0.104150,-56.258700
1588.729524,-0.104420,nan,-0.104420,-56.296910
1588.769714,-0.103420,nan,-0.103420,-56.382530
1588.809905,-0.103890,nan,-0.103890,-56.476970
1588.850095,-0.104860,nan,-0.104860,-56.530980
1588.890286,-0.106750,nan,-0.106750,-56.479560
1588.930476,-0.103640,nan,-0.103640,-56.511370
1588.970667,-0.101140,nan,-0.101140,-56.623070
1589.010857,-0.102440,nan,-0.102440,-56.782320
1589.051048,-0.101960,nan,-0.101960,-56.865600
1589.091238,-0.099300,nan,-0.099300,-56.899470
1589.131429,-0.096820,nan,-0.096820,-56.922950
1589.171619,-0.095630,nan,-0.095630,-56.946950
1589.211810,-0.093630,nan,-0.093630,-56.933000
1589.252000,-0.094740,nan,-0.094740,-56.951820
1589.292190,-0.094650,nan,-0.094650,-56.991060
1589.332381,-0.092560,nan,-0.092560,-57.013520
1589.372571,-0.089820,nan,-0.089820,-57.023470
1589.412762,-0.088770,nan,-0.088770,-57.117240
1589.452952,-0.088300,nan,-0.088300,-57.169600
1589.493143,-0.087820,nan,-0.087820,-57.207930
1589.533333,-0.085800,nan,-0.085800,-57.251600
1589.573524,-0.083490,nan,-0.083490,-57.329800
1589.613714,-0.081380,nan,-0.081380,-57.399140
1589.653905,-0.077660,nan,-0.077660,-57.445040
1589.694095,-0.074170,nan,-0.074170,-57.455620
1589.734286,-0.072270,nan,-0.072270,-57.479930
1589.774476,-0.071670,nan,-0.071670,-57.509520
1589.814667,-0.069330,nan,-0.069330,-57.520290
1589.854857,-0.065900,nan,-0.065900,-57.599530
1589.895048,-0.062790,nan,-0.062790,-57.721260
1589.935238,-0.061290,nan,-0.061290,-57.749220
1589.975429,-0.059020,nan,-0.059020,-57.712140
1590.015619,-0.055780,nan,-0.055780,-57.683850
1590.055810,-0.052000,nan,-0.052000,-57.730600
1590.096000,-0.048640,nan,-0.048640,-57.778930
1590.136190,-0.040950,nan,-0.040950,-57.782440
1590.176381,-0.024740,nan,-0.024740,-57.746960
1590.216571,0.004100,nan,0.004100,-57.735070
1590.256762,0.037760,nan,0.037760,-57.693920
1590.296952,0.073490,nan,0.073490,-57.634920
1590.337143,0.110770,nan,0.110770,-57.489080
1590.377333,0.151890,nan,0.151890,-57.242040
1590.417524,0.192940,nan,0.192940,-56.977720
1590.457714,0.235320,nan,0.235320,-56.751360
1590.497905,0.279600,nan,0.279600,-56.526300
1590.538095,0.325790,nan,0.325790,-56.219670
1590.578286,0.373880,nan,0.373880,-55.822920
1590.618476,0.424670,nan,0.424670,-55.407910
1590.658667,0.476260,nan,0.476260,-55.007830
1590.698857,0.528100,nan,0.528100,-54.548200
1590.739048,0.580530,nan,0.580530,-54.061450
1590.779238,0.635490,nan,0.635490,-53.565940
1590.819429,0.691530,nan,0.691530,-53.039670
1590.859619,0.748630,nan,0.748630,-52.414310
1590.899810,0.803710,nan,0.803710,-51.779770
1590.940000,0.857850,nan,0.857850,-51.192920
1590.980190,0.912880,nan,0.912880,-50.618920
1591.020381,0.968510,nan,0.968510,-49.914130
1591.060571,1.022450,nan,1.022450,-49.141510
1591.100762,1.071790,nan,1.071790,-48.396910
1591.140952,1.117870,nan,1.117870,-47.739910
1591.181143,1.159930,nan,1.159930,-47.036540
1591.221333,1.200740,nan,1.200740,-46.288870
1591.261524,1.236450,nan,1.236450,-45.511560
1591.301714,1.266710,nan,1.266710,-44.788290
1591.341905,1.289110,nan,1.289110,-44.097990
1591.382095,1.306350,nan,1.306350,-43.445700
1591.422286,1.316980,nan,1.316980,-42.737460
1591.462476,1.322600,nan,1.322600,-42.075970
1591.502667,1.321980,nan,1.321980,-41.435050
1591.542857,1.311980,nan,1.311980,-40.895440
1591.583048,1.291440,nan,1.291440,-40.426650
1591.623238,1.264320,nan,1.264320,-40.018380
1591.663429,1.232130,nan,1.232130,-39.605210
1591.703619,1.196130,nan,1.196130,-39.214390
1591.743810,1.152090,nan,1.152090,-38.872970
1591.784000,1.100760,nan,1.100760,-38.648440
1591.824190,1.044670,nan,1.044670,-38.536600
1591.864381,0.985770,nan,0.985770,-38.433600
1591.904571,0.919790,nan,0.919790,-38.378770
1591.944762,0.851550,nan,0.851550,-38.414160
1591.984952,0.782620,nan,0.782620,-38.488670
1592.025143,0.712970,nan,0.712970,-38.633740
1592.065333,0.640840,nan,0.640840,-38.875050
1592.105524,0.567420,nan,0.567420,-39.153550
1592.145714,0.493270,nan,0.493270,-39.439420
1592.185905,0.420580,nan,0.420580,-39.761540
1592.226095,0.349940,nan,0.349940,-40.158110
1592.266286,0.279970,nan,0.279970,-40.637850
1592.306476,0.211660,nan,0.211660,-41.112030
1592.346667,0.145120,nan,0.145120,-41.552010
1592.386857,0.080570,nan,0.080570,-42.093710
1592.427048,0.020680,nan,0.020680,-42.707820
1592.467238,-0.021160,nan,-0.021160,-43.273170
1592.507429,-0.043170,nan,-0.043170,-43.784750
1592.547619,-0.053810,nan,-0.053810,-44.273080
1592.587810,-0.060480,nan,-0.060480,-44.706460
1592.628000,-0.064670,nan,-0.064670,-45.128140
1592.668190,-0.071770,nan,-0.071770,-45.513500
1592.708381,-0.078620,nan,-0.078620,-45.853430
1592.748571,-0.084130,nan,-0.084130,-46.217960
1592.788762,-0.088960,nan,-0.088960,-46.509580
1592.828952,-0.094160,nan,-0.094160,-46.718530
1592.869143,-0.096880,nan,-0.096880,-46.911020
1592.909333,-0.100630,nan,-0.100630,-47.178730
1592.949524,-0.105640,nan,-0.105640,-47.425760
1592.989714,-0.109940,nan,-0.109940,-47.626840
1593.029905,-0.111990,nan,-0.111990,-47.737690
1593.070095,-0.115920,nan,-0.115920,-47.908440
1593.110286,-0.119410,nan,-0.119410,-48.173030
1593.150476,-0.121390,nan,-0.121390,-48.406480
1593.190667,-0.122950,nan,-0.122950,-48.539770
1593.230857,-0.125860,nan,-0.125860,-48.646990
1593.271048,-0.127520,nan,-0.127520,-48.795400
1593.311238,-0.128600,nan,-0.128600,-49.007900
1593.351429,-0.130380,nan,-0.130380,-49.203520
1593.391619,-0.133160,nan,-0.133160,-49.304700
1593.431810,-0.134860,nan,-0.134860,-49.385130
1593.472000,-0.136830,nan,-0.136830,-49.560860
1593.512190,-0.138360,nan,-0.138360,-49.701770
1593.552381,-0.140110,nan,-0.140110,-49.837370
1593.592571,-0.140950,nan,-0.140950,-49.937540
1593.632762,-0.143070,nan,-0.143070,-50.059660
1593.672952,-0.145670,nan,-0.145670,-50.163580
