V_(n),V_(n-1),I_(n),V_(n)',V_(n-1)',I_(n)'
-6079367.838454,-6086583.779166,38886.374161,-67.717170,-67.725970,-0.042680
-6079465.671686,-6086681.766621,38886.999894,-67.664060,-67.717170,-0.041170
-6079811.818215,-6087028.286145,38889.214761,-67.653960,-67.664060,-0.042040
-6080998.677084,-6088216.535781,38896.806439,-67.659910,-67.653960,-0.042410
-6083077.366825,-6090297.663160,38910.102644,-67.695850,-67.659910,-0.042230
-6084918.945759,-6092141.408772,38921.882596,-67.750890,-67.695850,-0.041400
-6085748.933487,-6092972.391565,38927.191524,-67.797470,-67.750890,-0.039450
-6086305.522476,-6093529.679424,38930.752104,-67.802870,-67.797470,-0.039780
-6086223.045337,-6093447.140713,38930.224311,-67.777920,-67.802870,-0.040920
-6085001.087720,-6092223.760464,38922.407392,-67.715110,-67.777920,-0.041800
-6083272.304426,-6090492.852129,38911.348555,-67.732540,-67.715110,-0.043200
-6081156.176896,-6088374.219687,38897.812156,-67.744430,-67.732540,-0.042980
-6079873.653307,-6087090.211066,38889.609005,-67.713380,-67.744430,-0.042980
-6078510.314371,-6085725.255414,38880.889102,-67.686940,-67.713380,-0.042850
-6076999.776305,-6084212.942688,38871.227609,-67.636460,-67.686940,-0.041710
-6076266.219686,-6083478.472734,38866.536127,-67.631080,-67.636460,-0.040570
-6076710.627094,-6083923.391576,38869.378815,-67.643900,-67.631080,-0.039340
-6078282.396233,-6085497.036883,38879.432725,-67.643860,-67.643900,-0.040290
-6079974.897637,-6087191.524431,38890.257802,-67.665210,-67.643860,-0.041770
-6081118.409749,-6088336.368359,38897.570957,-67.715590,-67.665210,-0.042830
-6080843.451534,-6088061.107703,38895.811628,-67.740300,-67.715590,-0.043570
-6079755.846582,-6086972.232453,38888.854484,-67.741900,-67.740300,-0.043690
-6077620.918280,-6084834.803243,38875.198886,-67.718090,-67.741900,-0.043650
-6075752.820514,-6082964.545847,38863.250473,-67.625400,-67.718090,-0.042780
-6074554.382811,-6081764.634428,38855.585123,-67.593290,-67.625400,-0.041610
-6073718.909275,-6080928.149910,38850.241244,-67.574500,-67.593290,-0.041050
-6074231.927468,-6081441.719661,38853.522319,-67.615590,-67.574500,-0.042230
-6074564.486820,-6081774.672048,38855.648878,-67.661430,-67.615590,-0.043950
-6075346.187414,-6082557.339609,38860.649007,-67.661540,-67.661430,-0.044550
-6075467.686344,-6082678.992496,38861.426777,-67.660020,-67.661540,-0.042960
-6075709.133255,-6082920.757823,38862.972601,-67.616410,-67.660020,-0.040330
-6076707.067125,-6083919.831280,38869.356753,-67.628270,-67.616410,-0.038710
-6078068.398146,-6085282.784254,38878.064745,-67.625490,-67.628270,-0.039000
-6080230.251247,-6087447.152115,38891.891964,-67.678720,-67.625490,-0.040960
-6081877.411993,-6089096.271332,38902.426784,-67.728770,-67.678720,-0.042530
-6083250.327228,-6090470.841921,38911.207477,-67.750360,-67.728770,-0.042590
-6083580.789661,-6090801.712384,38913.320867,-67.758890,-67.750360,-0.042520
-6083835.352831,-6091056.606395,38914.948729,-67.736140,-67.758890,-0.042630
-6084391.637683,-6091613.554454,38918.506729,-67.713610,-67.736140,-0.044790
-6085257.662280,-6092480.594204,38924.045764,-67.698710,-67.713610,-0.046800
-6086676.817522,-6093901.378408,38933.122747,-67.744360,-67.698710,-0.046100
-6088292.796191,-6095519.276236,38943.459823,-67.787460,-67.744360,-0.043910
-6089969.496802,-6097197.980172,38954.185528,-67.816710,-67.787460,-0.042310
-6091268.104917,-6098498.146078,38962.492283,-67.830420,-67.816710,-0.042850
-6091364.217394,-6098594.395309,38963.106781,-67.821930,-67.830420,-0.044700
-6090717.031306,-6097946.437566,38958.966415,-67.811830,-67.821930,-0.045240
-6089992.499706,-6097221.025043,38954.331760,-67.831610,-67.811830,-0.044470
-6089049.464723,-6096276.922380,38948.300433,-67.793360,-67.831610,-0.043980
-6088412.177640,-6095638.860162,38944.224497,-67.772690,-67.793360,-0.043790
-6087315.109299,-6094540.466092,38937.207032,-67.782650,-67.772690,-0.043150
-6086366.635788,-6093590.891329,38931.140531,-67.759930,-67.782650,-0.043190
-6085631.459879,-6092854.815102,38926.437991,-67.770320,-67.759930,-0.043290
-6084935.551687,-6092158.102735,38921.986661,-67.758120,-67.770320,-0.043660
-6085135.399333,-6092358.200825,38923.265969,-67.730250,-67.758120,-0.044030
-6085892.264476,-6093115.943611,38928.107154,-67.725590,-67.730250,-0.041680
-6086819.310127,-6094044.072533,38934.038189,-67.736390,-67.725590,-0.041000
-6087197.769076,-6094422.952070,38936.458580,-67.776210,-67.736390,-0.039980
-6087004.680563,-6094229.630793,38935.222834,-67.819740,-67.776210,-0.041260
-6086245.046438,-6093469.140595,38930.363316,-67.821070,-67.819740,-0.043470
-6085372.651716,-6092595.771336,38924.782542,-67.754820,-67.821070,-0.043640
-6084119.368649,-6091340.983482,38916.766423,-67.711190,-67.754820,-0.044120
-6083348.872079,-6090569.549140,38911.838614,-67.685390,-67.711190,-0.043130
-6083533.061700,-6090753.906360,38913.016733,-67.717560,-67.685390,-0.040900
-6083911.098273,-6091132.398111,38915.435628,-67.737110,-67.717560,-0.040600
-6084464.991005,-6091686.938195,38918.977615,-67.771190,-67.737110,-0.040630
-6084167.637544,-6091389.270244,38917.075221,-67.765490,-67.771190,-0.043450
-6084170.189677,-6091391.845500,38917.090667,-67.736890,-67.765490,-0.045210
-6084316.759196,-6091538.582012,38918.027876,-67.720710,-67.736890,-0.044440
-6084530.173735,-6091752.250778,38919.393852,-67.697140,-67.720710,-0.043320
-6084803.486490,-6092025.829193,38921.142594,-67.735930,-67.697140,-0.042630
-6084580.989891,-6091803.064376,38919.719585,-67.780570,-67.735930,-0.042280
-6084244.437273,-6091466.152791,38917.567282,-67.781440,-67.780570,-0.041940
-6083498.143119,-6090718.999781,38912.793682,-67.757750,-67.781440,-0.040780
-6082737.191032,-6089957.169796,38907.926640,-67.706860,-67.757750,-0.040900
-6082074.900755,-6089294.074661,38903.690078,-67.675270,-67.706860,-0.041980
-6081996.685570,-6089215.723409,38903.188956,-67.685110,-67.675270,-0.043280
-6082905.468271,-6090125.556484,38909.001496,-67.728720,-67.685110,-0.044340
-6083899.250312,-6091120.549037,38915.358234,-67.736620,-67.728720,-0.043420
-6084336.038960,-6091557.848708,38918.152499,-67.751850,-67.736620,-0.041850
-6083391.126551,-6090611.818041,38912.108874,-67.767750,-67.751850,-0.041180
-6082705.182376,-6089925.096375,38907.721401,-67.741640,-67.767750,-0.041710
-6082158.124460,-6089377.396669,38904.222225,-67.714590,-67.741640,-0.043080
-6082001.689146,-6089220.787340,38903.221515,-67.667000,-67.714590,-0.042880
-6081725.757667,-6088944.465194,38901.456535,-67.691160,-67.667000,-0.041900
-6081365.589807,-6088583.862134,38899.152872,-67.715680,-67.691160,-0.041180
-6081275.114769,-6088493.272052,38898.574183,-67.756390,-67.715680,-0.041580
-6080711.361875,-6087928.916316,38894.968221,-67.723470,-67.756390,-0.042190
-6079688.244781,-6086904.587517,38888.424053,-67.690860,-67.723470,-0.042490
-6078786.085309,-6086001.351279,38882.653348,-67.662410,-67.690860,-0.041270
-6078838.678025,-6086053.990793,38882.990157,-67.653510,-67.662410,-0.040690
-6079418.017049,-6086634.008488,38886.695746,-67.647670,-67.653510,-0.041060
-6080074.955860,-6087291.679262,38890.897036,-67.694670,-67.647670,-0.042730
-6079559.519476,-6086775.645125,38887.599394,-67.726610,-67.694670,-0.043810
-6078887.894090,-6086103.248938,38883.303102,-67.728940,-67.726610,-0.043230
-6077795.999864,-6085010.092024,38876.319582,-67.705610,-67.728940,-0.042440
-6076939.435767,-6084152.564051,38870.841954,-67.619130,-67.705610,-0.041490
-6076821.528667,-6084034.452862,38870.087893,-67.603330,-67.619130,-0.040890
-6076884.992650,-6084097.954998,38870.494273,-67.623280,-67.603330,-0.040970
-6077845.392792,-6085059.465451,38876.636508,-67.671870,-67.623280,-0.039830
-6078460.962310,-6085675.770001,38880.574047,-67.719760,-67.671870,-0.041810
-6078466.726752,-6085681.594731,38880.610590,-67.710260,-67.719760,-0.042990
-6077292.877294,-6084506.372545,38873.101980,-67.681920,-67.710260,-0.042280
-6074916.462712,-6082127.143166,38857.902202,-67.645700,-67.681920,-0.041090
-6072938.315051,-6080146.634743,38845.249482,-67.624510,-67.645700,-0.039130
-6071289.655355,-6078496.029136,38834.704432,-67.593310,-67.624510,-0.039460
-6069955.106287,-6077159.890698,38826.167964,-67.562160,-67.593310,-0.041150
-6068550.259106,-6075753.334499,38817.180775,-67.578890,-67.562160,-0.041300
-6067508.357620,-6074710.216173,38810.516352,-67.572100,-67.578890,-0.041290
-6067336.096990,-6074537.761809,38809.414633,-67.556490,-67.572100,-0.040920
-6067176.181432,-6074377.667051,38808.392015,-67.528880,-67.556490,-0.041100
-6066703.246722,-6073904.147684,38805.367019,-67.523790,-67.528880,-0.041310
-6066550.062925,-6073750.750506,38804.386636,-67.551240,-67.523790,-0.040550
-6066800.786327,-6074001.785747,38805.990603,-67.568070,-67.551240,-0.040790
-6067077.142780,-6074278.507412,38807.758230,-67.540890,-67.568070,-0.040990
-6066428.469386,-6073629.037483,38803.608626,-67.545020,-67.540890,-0.041770
-6065622.917103,-6072822.529751,38798.455834,-67.545790,-67.545020,-0.042170
-6065538.579251,-6072738.100979,38797.916405,-67.541800,-67.545790,-0.041630
-6065389.611053,-6072588.980481,38796.964462,-67.507380,-67.541800,-0.041640
-6065735.485619,-6072935.225894,38799.177014,-67.515090,-67.507380,-0.040610
-6066136.559531,-6073336.766002,38801.742693,-67.536150,-67.515090,-0.039290
-6066892.267276,-6074093.384291,38806.576810,-67.536830,-67.536150,-0.039080
-6067225.433837,-6074426.921276,38808.707196,-67.569040,-67.536830,-0.040150
-6067396.766945,-6074598.487290,38809.802581,-67.567650,-67.569040,-0.042250
-6067725.996277,-6074928.118894,38811.908152,-67.557500,-67.567650,-0.042850
-6068220.361557,-6075423.077774,38815.070338,-67.536780,-67.557500,-0.041570
-6068605.640167,-6075808.787693,38817.534692,-67.546840,-67.536780,-0.040680
-6069497.312071,-6076701.509360,38823.235724,-67.559240,-67.546840,-0.039440
-6071679.709415,-6078886.476456,38837.190208,-67.600960,-67.559240,-0.040730
-6074393.409388,-6081603.445835,38854.539712,-67.588290,-67.600960,-0.048270
-6077595.712854,-6084809.525256,38875.011232,-67.599470,-67.588290,-0.065380
-6081004.347007,-6088222.165480,38896.800221,-67.655680,-67.599470,-0.085780
-6085148.105896,-6092370.857777,38923.293448,-67.693740,-67.655680,-0.101550
-6089785.223100,-6097013.471551,38952.947242,-67.738390,-67.693740,-0.108150
-6093774.407172,-6101007.380571,38978.461359,-67.796270,-67.738390,-0.107380
-6097840.656592,-6105078.466025,39004.472508,-67.839770,-67.796270,-0.105450
-6101928.463150,-6109171.118209,39030.621691,-67.896010,-67.839770,-0.103410
-6105714.408042,-6112961.583898,39054.841052,-67.918520,-67.896010,-0.102160
-6108947.294690,-6116198.282407,39075.521691,-67.971000,-67.918520,-0.099110
-6111432.700276,-6118686.641814,39091.422029,-68.016990,-67.971000,-0.096520
-6113911.133653,-6121168.026004,39107.277235,-68.057150,-68.016990,-0.093410
-6115592.186476,-6122851.107724,39118.032019,-68.061150,-68.057150,-0.091680
-6116543.934721,-6123803.981610,39124.121484,-68.068300,-68.061150,-0.091480
-6117009.356187,-6124269.944635,39127.099503,-68.089600,-68.068300,-0.090200
-6117091.740379,-6124352.447510,39127.628438,-68.088110,-68.089600,-0.088660
-6116787.762125,-6124048.107609,39125.686171,-68.086050,-68.088110,-0.086180
-6116231.640923,-6123491.320586,39122.131236,-68.093070,-68.086050,-0.083070
-6116428.287568,-6123688.225374,39123.391819,-68.073090,-68.093070,-0.080430
-6117423.851877,-6124684.970711,39129.762063,-68.054740,-68.073090,-0.078410
-6118262.532365,-6125524.622199,39135.128717,-68.058970,-68.054740,-0.077050
-6119029.904549,-6126292.861399,39140.038279,-68.108220,-68.058970,-0.075130
-6119266.898782,-6126530.139409,39141.556051,-68.157510,-68.108220,-0.074000
-6118961.687565,-6126224.613531,39139.605430,-68.155430,-68.157510,-0.071470
-6117836.331692,-6125097.948706,39132.409302,-68.129230,-68.155430,-0.069050
-6116368.219606,-6123628.117760,39123.020661,-68.076980,-68.129230,-0.067210
-6115656.024410,-6122915.059421,39118.466832,-68.043640,-68.076980,-0.065900
-6114951.362516,-6122209.533423,39113.960624,-68.038700,-68.043640,-0.064770
-6114318.739651,-6121576.125595,39109.915071,-68.064180,-68.038700,-0.063790
-6113628.483186,-6120885.034402,39105.500356,-68.112400,-68.064180,-0.062100
-6113464.250233,-6120720.675829,39104.451538,-68.085350,-68.112400,-0.061140
-6113368.814921,-6120625.150414,39103.842383,-68.038300,-68.085350,-0.060450
-6112681.010753,-6119936.515927,39099.444476,-67.999820,-68.038300,-0.060250
-6112417.515249,-6119672.642241,39097.760100,-68.032450,-67.999820,-0.057980
-6112169.616330,-6119424.451438,39096.176181,-68.061970,-68.032450,-0.054950
-6112303.419988,-6119558.430710,39097.034251,-68.071300,-68.061970,-0.052990
-6111673.997318,-6118928.275255,39093.009671,-68.072410,-68.071300,-0.051480
-6110819.156105,-6118072.458460,39087.543642,-68.026460,-68.072410,-0.051040
-6109767.213992,-6117019.240587,39080.816234,-68.014880,-68.026460,-0.049560
-6108203.370414,-6115453.542606,39070.815177,-67.995640,-68.014880,-0.046840
-6106683.379905,-6113931.718033,39061.094919,-68.010470,-67.995640,-0.044280
-6104767.529533,-6112013.612585,39048.843559,-68.005410,-68.010470,-0.043080
-6102777.640085,-6110021.386629,39036.119377,-67.974200,-68.005410,-0.040930
-6099776.022478,-6107016.215090,39016.925310,-67.934400,-67.974200,-0.035510
-6096020.708500,-6103256.435861,38992.912170,-67.900860,-67.934400,-0.026440
-6092190.387856,-6099421.559819,38968.420743,-67.879690,-67.900860,-0.016270
-6088092.395414,-6095318.729377,38942.218032,-67.830580,-67.879690,-0.007090
-6083419.810815,-6090640.598542,38912.339562,-67.779690,-67.830580,0.002210
-6077398.406150,-6084612.032407,38873.833294,-67.746650,-67.779690,0.012050
-6070725.249013,-6077930.974523,38831.158737,-67.690460,-67.746650,0.022120
-6063871.763745,-6071069.374219,38787.330602,-67.618340,-67.690460,0.032380
-6056091.182928,-6063279.593799,38737.572946,-67.507090,-67.618340,0.042200
-6047868.480766,-6055047.110565,38684.986357,-67.416150,-67.507090,0.052940
-6039778.050593,-6046947.055524,38633.246210,-67.351870,-67.416150,0.062580
-6032001.147141,-6039160.948256,38583.511375,-67.257660,-67.351870,0.071850
-6024103.493920,-6031253.911945,38533.003854,-67.170340,-67.257660,0.081070
-6015465.333467,-6022605.477480,38477.759585,-67.108500,-67.170340,0.091250
-6006471.578558,-6013601.073105,38420.240685,-67.017780,-67.108500,0.102130
-5996907.156575,-6004025.309386,38359.071672,-66.917480,-67.017780,0.111080
-5986473.363313,-5993579.144870,38292.340591,-66.803380,-66.917480,0.118980
-5975675.065898,-5982768.036454,38223.278032,-66.683610,-66.803380,0.125980
-5964686.755024,-5971766.687453,38152.999900,-66.559280,-66.683610,0.134390
-5953367.591347,-5960434.086206,38080.606319,-66.436990,-66.559280,0.143240
-5941372.543614,-5948424.792522,38003.889884,-66.322860,-66.436990,0.152680
-5929560.370073,-5936598.597277,37928.343111,-66.210150,-66.322860,0.162880
-5918377.972868,-5925402.951545,37856.825281,-66.075740,-66.210150,0.172840
-5907386.985865,-5914398.942756,37786.531197,-65.912370,-66.075740,0.183060
