file_N:23,train,seed:None,percent:5275,measured,n:3,N:4
t,I,V,V'
1055.0,-0.04279,-60.77451,-60.7914
1055.01,-0.0434,-60.7914,-60.78678
1055.02,-0.04373,-60.78678,-60.78023
1055.03,-0.04402,-60.78023,-60.78581
1055.04,-0.04393,-60.78581,-60.79248
1055.05,-0.04381,-60.79248,-60.79533
1055.06,-0.04387,-60.79533,-60.79784
1055.07,-0.04394,-60.79784,-60.78357
1055.08,-0.04378,-60.78357,-60.76778
1055.09,-0.04361,-60.76778,-60.76425
1055.1,-0.04326,-60.76425,-60.76182
1055.1100000000001,-0.04289,-60.76182,-60.76241
1055.1200000000001,-0.04262,-60.76241,-60.76327
1055.13,-0.04235,-60.76327,-60.76922
1055.14,-0.04244,-60.76922,-60.77562
1055.15,-0.04257,-60.77562,-60.7832
1055.16,-0.04256,-60.7832,-60.79088
1055.17,-0.04255,-60.79088,-60.79762
1055.18,-0.04226,-60.79762,-60.80427
1055.19,-0.04195,-60.80427,-60.80232
1055.2,-0.04205,-60.80232,-60.7996
1055.21,-0.04219,-60.7996,-60.81494
1055.22,-0.0423,-60.81494,-60.83192
1055.23,-0.04241,-60.83192,-60.84532
1055.24,-0.04223,-60.84532,-60.8584
1055.25,-0.04202,-60.8584,-60.86024
1055.26,-0.04198,-60.86024,-60.86106
1055.27,-0.04196,-60.86106,-60.85515
1055.28,-0.04205,-60.85515,-60.84863
1055.29,-0.04215,-60.84863,-60.83399
1055.3,-0.0421,-60.83399,-60.81861
1055.31,-0.04202,-60.81861,-60.81269
1055.32,-0.04171,-60.81269,-60.80762
1055.33,-0.04137,-60.80762,-60.80181
1055.34,-0.04117,-60.80181,-60.79593
1055.35,-0.04099,-60.79593,-60.78013
1055.3600000000001,-0.04116,-60.78013,-60.76343
1055.3700000000001,-0.04137,-60.76343,-60.77185
1055.38,-0.04146,-60.77185,-60.78253
1055.39,-0.04154,-60.78253,-60.77576
1055.4,-0.04155,-60.77576,-60.7674
1055.41,-0.04155,-60.7674,-60.75948
1055.42,-0.04181,-60.75948,-60.75161
1055.43,-0.04209,-60.75161,-60.75616
1055.44,-0.04224,-60.75616,-60.76184
1055.45,-0.04237,-60.76184,-60.76344
1055.46,-0.0422,-60.76344,-60.76466
1055.47,-0.04201,-60.76466,-60.76138
1055.48,-0.04194,-60.76138,-60.7577
1055.49,-0.04189,-60.7577,-60.76586
1055.5,-0.04192,-60.76586,-60.77509
1055.51,-0.04197,-60.77509,-60.77304
1055.52,-0.04178,-60.77304,-60.76997
1055.53,-0.04157,-60.76997,-60.76605
1055.54,-0.04131,-60.76605,-60.76205
1055.55,-0.04104,-60.76205,-60.76087
1055.56,-0.04095,-60.76087,-60.75995
1055.57,-0.04086,-60.75995,-60.76783
1055.58,-0.04076,-60.76783,-60.77652
1055.59,-0.04066,-60.77652,-60.8079
1055.6,-0.04108,-60.8079,-60.84134
1055.6100000000001,-0.04155,-60.84134,-60.86688
1055.6200000000001,-0.04192,-60.86688,-60.8917
1055.63,-0.04227,-60.8917,-60.88579
1055.64,-0.04273,-60.88579,-60.87708
1055.65,-0.0432,-60.87708,-60.8566
1055.66,-0.04359,-60.8566,-60.83505
1055.67,-0.04397,-60.83505,-60.81788
1055.68,-0.04371,-60.81788,-60.8011
1055.69,-0.04339,-60.8011,-60.78641
