file_N:27,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
0.0,-0.0396,-58.98483,-0.03978
0.01,-0.03978,-58.99573,-0.03993
0.02,-0.03993,-59.00854,-0.03975
0.03,-0.03975,-59.03229,-0.0395
0.04,-0.0395,-59.05831,-0.03919
0.05,-0.03919,-59.09233,-0.03886
0.06,-0.03886,-59.12802,-0.03886
0.07,-0.03886,-59.13592,-0.03894
0.08,-0.03894,-59.13801,-0.03893
0.09,-0.03893,-59.15015,-0.0389
0.1,-0.0389,-59.16439,-0.03874
0.11,-0.03874,-59.16364,-0.03855
0.12,-0.03855,-59.15976,-0.03833
0.13,-0.03833,-59.14454,-0.0381
0.14,-0.0381,-59.12695,-0.03863
0.15,-0.03863,-59.117,-0.03932
0.16,-0.03932,-59.10864,-0.03998
0.17,-0.03998,-59.10546,-0.04063
0.18,-0.04063,-59.10337,-0.04092
0.19,-0.04092,-59.10382,-0.04114
0.2,-0.04114,-59.10481,-0.04148
0.21,-0.04148,-59.10265,-0.04185
0.22,-0.04185,-59.09983,-0.042
0.23,-0.042,-59.08584,-0.0421
0.24,-0.0421,-59.06953,-0.04186
0.25,-0.04186,-59.0815,-0.04155
0.26,-0.04155,-59.09938,-0.04105
0.27,-0.04105,-59.09957,-0.04051
0.28,-0.04051,-59.09605,-0.03962
0.29,-0.03962,-59.10318,-0.03865
0.3,-0.03865,-59.11255,-0.03846
0.31,-0.03846,-59.1249,-0.03843
0.32,-0.03843,-59.13788,-0.03851
0.33,-0.03851,-59.14336,-0.03862
0.34,-0.03862,-59.14728,-0.03892
0.35000000000000003,-0.03892,-59.14791,-0.03926
0.36,-0.03926,-59.14786,-0.03994
0.37,-0.03994,-59.13486,-0.04069
0.38,-0.04069,-59.11913,-0.04159
0.39,-0.04159,-59.10771,-0.04251
0.4,-0.04251,-59.0972,-0.04316
0.41000000000000003,-0.04316,-59.09781,-0.04374
0.42,-0.04374,-59.10074,-0.04376
0.43,-0.04376,-59.08682,-0.04366
0.44,-0.04366,-59.06937,-0.04345
0.45,-0.04345,-59.05947,-0.04321
0.46,-0.04321,-59.05117,-0.04273
0.47000000000000003,-0.04273,-59.05501,-0.04219
0.48,-0.04219,-59.06141,-0.04145
0.49,-0.04145,-59.0723,-0.04067
0.5,-0.04067,-59.08414,-0.04016
0.51,-0.04016,-59.09964,-0.03972
0.52,-0.03972,-59.11591,-0.03935
0.53,-0.03935,-59.12655,-0.03899
0.54,-0.03899,-59.13601,-0.03875
0.55,-0.03875,-59.14515,-0.03853
0.56,-0.03853,-59.15421,-0.03859
0.5700000000000001,-0.03859,-59.16599,-0.03871
0.58,-0.03871,-59.17835,-0.03881
0.59,-0.03881,-59.17897,-0.0389
0.6,-0.0389,-59.17714,-0.03938
0.61,-0.03938,-59.15891,-0.03994
0.62,-0.03994,-59.13724,-0.04048
0.63,-0.04048,-59.13724,-0.04102
0.64,-0.04102,-59.14178,-0.04152
0.65,-0.04152,-59.1359,-0.042
0.66,-0.042,-59.12782,-0.04222
0.67,-0.04222,-59.11879,-0.04238
0.68,-0.04238,-59.10956,-0.04232
0.6900000000000001,-0.04232,-59.11769,-0.04222
0.7000000000000001,-0.04222,-59.12947,-0.04184
0.71,-0.04184,-59.12899,-0.0414
0.72,-0.0414,-59.12596,-0.04092
0.73,-0.04092,-59.13331,-0.04042
0.74,-0.04042,-59.14283,-0.04001
0.75,-0.04001,-59.14297,-0.03961
0.76,-0.03961,-59.14114,-0.03941
0.77,-0.03941,-59.13274,-0.03926
0.78,-0.03926,-59.12296,-0.03938
0.79,-0.03938,-59.13413,-0.03956
0.8,-0.03956,-59.14968,-0.03983
0.81,-0.03983,-59.14272,-0.04013
0.8200000000000001,-0.04013,-59.13102,-0.04017
0.8300000000000001,-0.04017,-59.13264,-0.04016
0.84,-0.04016,-59.13705,-0.04069
0.85,-0.04069,-59.14736,-0.04133
0.86,-0.04133,-59.1589,-0.04162
0.87,-0.04162,-59.15199,-0.04184
0.88,-0.04184,-59.14121,-0.04202
0.89,-0.04202,-59.13585,-0.04218
0.9,-0.04218,-59.13164,-0.04235
0.91,-0.04235,-59.11885,-0.04252
0.92,-0.04252,-59.10425,-0.04278
0.93,-0.04278,-59.10167,-0.04305
0.9400000000000001,-0.04305,-59.10163,-0.04293
0.9500000000000001,-0.04293,-59.10796,-0.04272
0.96,-0.04272,-59.11564,-0.04227
0.97,-0.04227,-59.12585,-0.04176
0.98,-0.04176,-59.13658,-0.04138
0.99,-0.04138,-59.14153,-0.04103
1.0,-0.04103,-59.14526,-0.04088
1.01,-0.04088,-59.13702,-0.04077
1.02,-0.04077,-59.12627,-0.04061
1.03,-0.04061,-59.1138,-0.04044
1.04,-0.04044,-59.10097,-0.04044
1.05,-0.04044,-59.08129,-0.04047
1.06,-0.04047,-59.06017,-0.04074
