file_N:30,train,seed:None,percent:20000,measured,n:1,N:1
t,I,V,I',V'
0.0,-0.0413,-53.99411,-0.04116,-53.99507
0.01005,-0.04116,-53.99507,-0.041,-53.99365
0.0201,-0.041,-53.99365,-0.04085,-53.98545
0.03015,-0.04085,-53.98545,-0.0407,-53.97574
0.0402,-0.0407,-53.97574,-0.041,-53.97446
0.05025,-0.041,-53.97446,-0.04141,-53.97505
0.0603,-0.04141,-53.97505,-0.0419,-53.97708
0.07035,-0.0419,-53.97708,-0.04241,-53.97942
0.0804,-0.04241,-53.97942,-0.04287,-53.97796
0.09045,-0.04287,-53.97796,-0.04331,-53.97565
0.1005,-0.04331,-53.97565,-0.04355,-53.96588
0.11055,-0.04355,-53.96588,-0.04375,-53.95445
0.1206,-0.04375,-53.95445,-0.04396,-53.94621
0.13065,-0.04396,-53.94621,-0.04419,-53.93868
0.1407,-0.04419,-53.93868,-0.04448,-53.93967
0.15075,-0.04448,-53.93967,-0.04478,-53.94256
0.1608,-0.04478,-53.94256,-0.04429,-53.9487
0.17085,-0.04429,-53.9487,-0.04362,-53.95555
0.1809,-0.04362,-53.95555,-0.04258,-53.94561
0.19095,-0.04258,-53.94561,-0.04145,-53.93194
0.201,-0.04145,-53.93194,-0.04121,-53.94165
0.21105,-0.04121,-53.94165,-0.04116,-53.95656
0.2211,-0.04116,-53.95656,-0.04092,-53.97042
0.23115,-0.04092,-53.97042,-0.04063,-53.98404
0.2412,-0.04063,-53.98404,-0.04002,-53.98706
0.25125,-0.04002,-53.98706,-0.03934,-53.98772
0.2613,-0.03934,-53.98772,-0.03905,-54.00648
0.27135,-0.03905,-54.00648,-0.03885,-54.02927
0.2814,-0.03885,-54.02927,-0.03883,-54.05059
0.29145,-0.03883,-54.05059,-0.03886,-54.07158
0.3015,-0.03886,-54.07158,-0.03902,-54.08632
0.31155,-0.03902,-54.08632,-0.0392,-54.09968
0.3216,-0.0392,-54.09968,-0.03921,-54.1143
0.33165,-0.03921,-54.1143,-0.03917,-54.1292
0.3417,-0.03917,-54.1292,-0.0394,-54.12058
0.35175,-0.0394,-54.12058,-0.03969,-54.10672
0.3618,-0.03969,-54.10672,-0.04002,-54.11988
0.37185,-0.04002,-54.11988,-0.04035,-54.13905
0.3819,-0.04035,-54.13905,-0.04017,-54.14217
0.39195,-0.04017,-54.14217,-0.03986,-54.1417
0.402,-0.03986,-54.1417,-0.0398,-54.13442
0.41204999999999997,-0.0398,-54.13442,-0.0398,-54.12562
0.4221,-0.0398,-54.12562,-0.04017,-54.13327
0.43215,-0.04017,-54.13327,-0.04062,-54.14458
0.4422,-0.04062,-54.14458,-0.04103,-54.1445
0.45225,-0.04103,-54.1445,-0.04144,-54.1419
0.4623,-0.04144,-54.1419,-0.04189,-54.13418
0.47235,-0.04189,-54.13418,-0.04234,-54.12533
0.4824,-0.04234,-54.12533,-0.04274,-54.1149
0.49245,-0.04274,-54.1149,-0.04312,-54.10412
0.5025,-0.04312,-54.10412,-0.04325,-54.09944
0.51255,-0.04325,-54.09944,-0.04332,-54.09612
0.5226,-0.04332,-54.09612,-0.04311,-54.11673
0.53265,-0.04311,-54.11673,-0.04284,-54.14267
0.5427,-0.04284,-54.14267,-0.0422,-54.14691
0.55275,-0.0422,-54.14691,-0.04148,-54.14632
0.5628,-0.04148,-54.14632,-0.04132,-54.14764
0.57285,-0.04132,-54.14764,-0.04127,-54.14939
0.5829,-0.04127,-54.14939,-0.04183,-54.15525
0.59295,-0.04183,-54.15525,-0.04252,-54.16202
0.603,-0.04252,-54.16202,-0.04314,-54.16674
0.61305,-0.04314,-54.16674,-0.04373,-54.171
0.6231,-0.04373,-54.171,-0.04429,-54.16913
0.63315,-0.04429,-54.16913,-0.04483,-54.16589
0.6432,-0.04483,-54.16589,-0.04523,-54.15597
0.65325,-0.04523,-54.15597,-0.04559,-54.14456
0.6633,-0.04559,-54.14456,-0.04541,-54.13446
0.67335,-0.04541,-54.13446,-0.04511,-54.12465
0.6834,-0.04511,-54.12465,-0.04474,-54.12792
0.69345,-0.04474,-54.12792,-0.04434,-54.13411
0.7035,-0.04434,-54.13411,-0.04369,-54.1304
0.71355,-0.04369,-54.1304,-0.04297,-54.12447
0.7236,-0.04297,-54.12447,-0.04258,-54.12267
0.73365,-0.04258,-54.12267,-0.04226,-54.1218
0.7437,-0.04226,-54.1218,-0.04195,-54.12704
0.75375,-0.04195,-54.12704,-0.04164,-54.13364
0.7638,-0.04164,-54.13364,-0.04142,-54.14219
0.77385,-0.04142,-54.14219,-0.04121,-54.15118
0.7839,-0.04121,-54.15118,-0.04148,-54.16132
0.79395,-0.04148,-54.16132,-0.04186,-54.17172
0.804,-0.04186,-54.17172,-0.04254,-54.17013
0.8140499999999999,-0.04254,-54.17013,-0.0433,-54.16585
0.8240999999999999,-0.0433,-54.16585,-0.04379,-54.15897
0.83415,-0.04379,-54.15897,-0.04423,-54.1515
0.8442,-0.04423,-54.1515,-0.04466,-54.15546
0.85425,-0.04466,-54.15546,-0.04508,-54.16196
0.8643,-0.04508,-54.16196,-0.04546,-54.15168
0.87435,-0.04546,-54.15168,-0.04583,-54.13764
0.8844,-0.04583,-54.13764,-0.04585,-54.12662
0.89445,-0.04585,-54.12662,-0.04579,-54.11626
0.9045,-0.04579,-54.11626,-0.04508,-54.12578
0.91455,-0.04508,-54.12578,-0.04421,-54.13973
0.9246,-0.04421,-54.13973,-0.04333,-54.14688
0.93465,-0.04333,-54.14688,-0.04245,-54.15251
0.9447,-0.04245,-54.15251,-0.04181,-54.16198
0.95475,-0.04181,-54.16198,-0.04122,-54.1723
0.9648,-0.04122,-54.1723,-0.04089,-54.18192
0.97485,-0.04089,-54.18192,-0.04061,-54.19138
0.9849,-0.04061,-54.19138,-0.04023,-54.1882
0.99495,-0.04023,-54.1882,-0.03982,-54.18218
1.005,-0.03982,-54.18218,-0.03993,-54.18115
1.01505,-0.03993,-54.18115,-0.04014,-54.18124
1.0251,-0.04014,-54.18124,-0.04062,-54.1766
1.03515,-0.04062,-54.1766,-0.04115,-54.1709
1.0452,-0.04115,-54.1709,-0.04176,-54.15639
1.05525,-0.04176,-54.15639,-0.04239,-54.13991
1.0653,-0.04239,-54.13991,-0.04237,-54.15239
1.07535,-0.04237,-54.15239,-0.0422,-54.17135
1.0854,-0.0422,-54.17135,-0.04191,-54.17906
1.09545,-0.04191,-54.17906,-0.0416,-54.18426
1.1055,-0.0416,-54.18426,-0.04146,-54.18353
1.11555,-0.04146,-54.18353,-0.04136,-54.18146
1.1256,-0.04136,-54.18146,-0.04155,-54.18721
1.13565,-0.04155,-54.18721,-0.04181,-54.19471
1.1457,-0.04181,-54.19471,-0.04163,-54.1958
1.15575,-0.04163,-54.1958,-0.04135,-54.19545
1.1658,-0.04135,-54.19545,-0.04128,-54.1973
1.17585,-0.04128,-54.1973,-0.04126,-54.19965
1.1859,-0.04126,-54.19965,-0.04117,-54.1943
1.19595,-0.04117,-54.1943,-0.04106,-54.18723
1.206,-0.04106,-54.18723,-0.04104,-54.16856
1.21605,-0.04104,-54.16856,-0.04104,-54.14729
1.2261,-0.04104,-54.14729,-0.04086,-54.14421
1.23615,-0.04086,-54.14421,-0.04064,-54.1452
1.2462,-0.04064,-54.1452,-0.04098,-54.14189
1.25625,-0.04098,-54.14189,-0.04145,-54.13761
1.2663,-0.04145,-54.13761,-0.04194,-54.12716
1.27635,-0.04194,-54.12716,-0.04244,-54.11532
1.2864,-0.04244,-54.11532,-0.04325,-54.10553
1.2964499999999999,-0.04325,-54.10553,-0.04412,-54.0962
1.3065,-0.04412,-54.0962,-0.04425,-54.09605
1.3165499999999999,-0.04425,-54.09605,-0.04421,-54.09797
1.3266,-0.04421,-54.09797,-0.04366,-54.09652
1.33665,-0.04366,-54.09652,-0.043,-54.09433
1.3467,-0.043,-54.09433,-0.04236,-54.0975
1.35675,-0.04236,-54.0975,-0.04173,-54.10188
1.3668,-0.04173,-54.10188,-0.04127,-54.10772
1.37685,-0.04127,-54.10772,-0.04085,-54.1139
1.3869,-0.04085,-54.1139,-0.04059,-54.12594
1.39695,-0.04059,-54.12594,-0.04036,-54.1393
1.407,-0.04036,-54.1393,-0.04053,-54.1622
1.41705,-0.04053,-54.1622,-0.04079,-54.18724
1.4271,-0.04079,-54.18724,-0.04093,-54.19917
1.43715,-0.04093,-54.19917,-0.04106,-54.20817
1.4472,-0.04106,-54.20817,-0.04163,-54.21398
1.45725,-0.04163,-54.21398,-0.04231,-54.21906
1.4673,-0.04231,-54.21906,-0.04228,-54.21719
1.47735,-0.04228,-54.21719,-0.0421,-54.21375
1.4874,-0.0421,-54.21375,-0.04192,-54.21043
1.49745,-0.04192,-54.21043,-0.04175,-54.20712
1.5075,-0.04175,-54.20712,-0.04195,-54.21121
1.51755,-0.04195,-54.21121,-0.04225,-54.21696
1.5276,-0.04225,-54.21696,-0.0424,-54.20982
1.53765,-0.0424,-54.20982,-0.04252,-54.1998
1.5477,-0.04252,-54.1998,-0.04238,-54.20691
1.55775,-0.04238,-54.20691,-0.04217,-54.21785
1.5678,-0.04217,-54.21785,-0.04221,-54.22554
1.57785,-0.04221,-54.22554,-0.04229,-54.23249
1.5879,-0.04229,-54.23249,-0.04219,-54.23598
1.59795,-0.04219,-54.23598,-0.04205,-54.23869
1.608,-0.04205,-54.23869,-0.04187,-54.25097
1.61805,-0.04187,-54.25097,-0.04168,-54.2654
1.6280999999999999,-0.04168,-54.2654,-0.04114,-54.27703
1.63815,-0.04114,-54.27703,-0.04053,-54.28803
1.6481999999999999,-0.04053,-54.28803,-0.04024,-54.30403
1.65825,-0.04024,-54.30403,-0.04002,-54.32116
1.6683,-0.04002,-54.32116,-0.04021,-54.33535
1.67835,-0.04021,-54.33535,-0.04048,-54.34889
1.6884,-0.04048,-54.34889,-0.0405,-54.34757
1.69845,-0.0405,-54.34757,-0.04046,-54.34292
1.7085,-0.04046,-54.34292,-0.04053,-54.34074
1.71855,-0.04053,-54.34074,-0.04064,-54.33912
1.7286,-0.04064,-54.33912,-0.0411,-54.32409
1.73865,-0.0411,-54.32409,-0.04163,-54.30604
1.7487,-0.04163,-54.30604,-0.042,-54.28392
1.75875,-0.042,-54.28392,-0.04233,-54.26088
1.7688,-0.04233,-54.26088,-0.04266,-54.24705
1.77885,-0.04266,-54.24705,-0.04298,-54.23529
1.7889,-0.04298,-54.23529,-0.043,-54.24738
1.79895,-0.043,-54.24738,-0.04295,-54.26482
1.809,-0.04295,-54.26482,-0.04266,-54.27553
