file_N:30,train,seed:None,percent:2429,integrated,n:4,N:4
t,V,V'
1506.254391,-72.546183,-72.543229
1506.276291,-72.543229,-72.54119
1506.296972,-72.54119,-72.539901
1506.316988,-72.539901,-72.538951
1506.338545,-72.538951,-72.538153
1506.358703,-72.538153,-72.537135
1506.381121,-72.537135,-72.535733
1506.402512,-72.535733,-72.534018
1506.422546,-72.534018,-72.532265
1506.444477,-72.532265,-72.530966
1506.464875,-72.530966,-72.529836
1506.486055,-72.529836,-72.528879
1506.507941,-72.528879,-72.528223
1506.52839,-72.528223,-72.527533
1506.549519,-72.527533,-72.526548
1506.569663,-72.526548,-72.525161
1506.590759,-72.525161,-72.523529
1506.611125,-72.523529,-72.521082
1506.632405,-72.521082,-72.518093
1506.65254,-72.518093,-72.514609
1506.673915,-72.514609,-72.511553
1506.695541,-72.511553,-72.509347
1506.715941,-72.509347,-72.507884
1506.737888,-72.507884,-72.50708
1506.759866,-72.50708,-72.506174
1506.780308,-72.506174,-72.504881
1506.801684,-72.504881,-72.503647
1506.822695,-72.503647,-72.502346
1506.843737,-72.502346,-72.501031
1506.864563,-72.501031,-72.499695
1506.885372,-72.499695,-72.498207
1506.905945,-72.498207,-72.496137
1506.927868,-72.496137,-72.494007
1506.949042,-72.494007,-72.492551
1506.971053,-72.492551,-72.491993
1506.993659,-72.491993,-72.491868
1507.016095,-72.491868,-72.49121
1507.038248,-72.49121,-72.48949
1507.05944,-72.48949,-72.48721
1507.080737,-72.48721,-72.484778
1507.101507,-72.484778,-72.482232
1507.121964,-72.482232,-72.479928
1507.142517,-72.479928,-72.47777
1507.163529,-72.47777,-72.475643
1507.184696,-72.475643,-72.47365
1507.206044,-72.47365,-72.471889
1507.227862,-72.471889,-72.470372
1507.247981,-72.470372,-72.468253
1507.26984,-72.468253,-72.465735
1507.290591,-72.465735,-72.463084
1507.310964,-72.463084,-72.459867
1507.332839,-72.459867,-72.457094
1507.354799,-72.457094,-72.455215
1507.375917,-72.455215,-72.453516
1507.398032,-72.453516,-72.451956
1507.41807,-72.451956,-72.450448
1507.438133,-72.450448,-72.44886
1507.458265,-72.44886,-72.44658
1507.479823,-72.44658,-72.443962
1507.500311,-72.443962,-72.441538
1507.520671,-72.441538,-72.439437
1507.541565,-72.439437,-72.43771
1507.56328,-72.43771,-72.436248
1507.583471,-72.436248,-72.434751
1507.603749,-72.434751,-72.43272
1507.625747,-72.43272,-72.430303
1507.646685,-72.430303,-72.428211
1507.667547,-72.428211,-72.426622
1507.689503,-72.426622,-72.425356
1507.710179,-72.425356,-72.42408
1507.731214,-72.42408,-72.422541
1507.751752,-72.422541,-72.420645
1507.77373,-72.420645,-72.418857
1507.795633,-72.418857,-72.417369
1507.815667,-72.417369,-72.415943
1507.83597,-72.415943,-72.414343
1507.856222,-72.414343,-72.412226
1507.877844,-72.412226,-72.410352
1507.89924,-72.410352,-72.408947
1507.919336,-72.408947,-72.407849
1507.940217,-72.407849,-72.407193
1507.960219,-72.407193,-72.406768
1507.982154,-72.406768,-72.406431
1508.002809,-72.406431,-72.406022
1508.023315,-72.406022,-72.405265
1508.044851,-72.405265,-72.404514
1508.065484,-72.404514,-72.402869
1508.086803,-72.402869,-72.40054
1508.108168,-72.40054,-72.398015
1508.128679,-72.398015,-72.395881
1508.149398,-72.395881,-72.394281
1508.171207,-72.394281,-72.393348
1508.192419,-72.393348,-72.392967
1508.213809,-72.392967,-72.392681
1508.235806,-72.392681,-72.392002
1508.258285,-72.392002,-72.390954
1508.278381,-72.390954,-72.389213
1508.298852,-72.389213,-72.386954
1508.320109,-72.386954,-72.384559
1508.340896,-72.384559,-72.382137
1508.361476,-72.382137,-72.379844
1508.382154,-72.379844,-72.377729
1508.403144,-72.377729,-72.375976
1508.424769,-72.375976,-72.374564
1508.44502,-72.374564,-72.372888
1508.465092,-72.372888,-72.37098
1508.486853,-72.37098,-72.36904
1508.508611,-72.36904,-72.366795
1508.529865,-72.366795,-72.36467
1508.550828,-72.36467,-72.363224
1508.572825,-72.363224,-72.362607
1508.595245,-72.362607,-72.362586
1508.617418,-72.362586,-72.362795
1508.637648,-72.362795,-72.362908
1508.66117,-72.362908,-72.36263
1508.682582,-72.36263,-72.362009
1508.705121,-72.362009,-72.361192
1508.726061,-72.361192,-72.35948
1508.747192,-72.35948,-72.356685
1508.767936,-72.356685,-72.353486
1508.789697,-72.353486,-72.350533
1508.81157,-72.350533,-72.348212
1508.83193,-72.348212,-72.346332
1508.853163,-72.346332,-72.344543
1508.875175,-72.344543,-72.342379
1508.896763,-72.342379,-72.339855
1508.917468,-72.339855,-72.337393
1508.937829,-72.337393,-72.335465
1508.958781,-72.335465,-72.33441
1508.979212,-72.33441,-72.33384
1508.999686,-72.33384,-72.333027
1509.020821,-72.333027,-72.33167
1509.042346,-72.33167,-72.330141
1509.062698,-72.330141,-72.328291
1509.08483,-72.328291,-72.326145
1509.106338,-72.326145,-72.323794
1509.127243,-72.323794,-72.321295
1509.147835,-72.321295,-72.318485
1509.167976,-72.318485,-72.315367
1509.189722,-72.315367,-72.313125
